name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences,lottery_number
Christopher Mcdaniel,M,330905890,2000-11-04,Freshman,School of Engineering,0,0,['SA' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[448476924],9661
Paul Schmidt,M,384940220,2001-11-25,Freshman,School of Arts and Sciences,0,1,['MH' 'TS' 'AH'],Suite,1,1,1,8000-11000,12000,"[779019273, 732321962]",9663
Jorge Grant,M,717105065,2002-01-17,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'MH'],Apartment,1,1,1,4000-6000,7000,"[209126072, 531933341]",9668
David Hernandez,M,353453334,2001-06-02,Junior,School of Communication and Information,0,0,['MS' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000,"[603574738, 420374878]",9672
Tiffany Sweeney,F,453781051,2005-09-12,Freshman,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'TS'],Apartment,1,1,1,8000-11000,12000,"[385152361, 883192000]",9677
Rebecca Cervantes,F,615045865,2000-03-21,Freshman,School of Arts and Sciences,0,0,['MH' 'BS' 'MZH'],Suite,1,1,1,8000-11000,12000,[],9679
Rodney Taylor DVM,M,557251003,2005-03-03,Junior,School of Social Work,0,0,['SA' 'MH' 'MZH'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[637161259, 309322207]",9684
Sierra Davis,F,961703322,2004-02-22,Sophomore,School of Communication and Information,0,0,['MRS' 'MZH' 'RA'],Suite,1,1,0,6000-8000,9000,[919158487],9693
Robin Gonzalez,F,353425168,2005-07-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MZH' 'NCA'],Apartment,1,1,1,4000-6000,7000,[],9694
James Nelson,M,139216084,2000-08-26,Sophomore,School of Management and Labor Relations,0,1,['NCA' 'MZH' 'WS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[111102846, 906313043]",9697
Billy Williams,M,385152361,2001-06-26,Freshman,School of Social Work,1,0,['BS' 'SA' 'MZH'],Suite,1,1,1,4000-6000,7000,"[453781051, 883192000]",9700
Adam Graves,M,498111896,1999-11-14,Doctorate,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,"[193292013, 141775438]",9707
Richard Pollard,M,557667970,2004-08-04,Freshman,School of Environmental and Biological Sciences,0,0,['TS' 'SA' 'NCA'],Apartment,1,1,1,6000-8000,9000,[],9708
Diane Khan,F,869227931,2001-08-11,Junior,School of Arts and Sciences,0,0,['JS' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000,"[833151545, 236427219]",9713
Michael King,M,463389791,2003-03-11,Freshman,Mason Gross School of the Arts,0,1,['BS' 'RA' 'BH'],Suite,1,1,1,8000-11000,12000,[],9714
Lindsay Evans,F,636133267,2003-07-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'CS' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[505133924, 517251476]",9719
Alyssa Mitchell,F,303731964,2005-03-13,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'WS' 'BH'],Suite,1,1,1,8000-11000,12000,[160949178],9720
Eric Powell,M,240681396,2003-10-19,Freshman,School of Communication and Information,0,0,['BS' 'CS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[439320072, 255775858]",9720
John Jones,M,284915866,1996-08-16,Doctorate,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,"[406114021, 844177850]",9721
Joshua Contreras,M,344699019,2003-03-05,Senior,School of Engineering,0,0,['JS' 'TS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[958222449],9727
Carol Mcdonald,F,680006524,2002-06-02,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'SA' 'WS'],Apartment,1,1,1,8000-11000,12000,[],9729
Joy Macias,F,914042948,2002-09-28,Freshman,School of Arts and Sciences,0,0,['MZH' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000,"[580994970, 692238921]",9733
Daniel Harvey,M,453470826,2004-07-26,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['MS' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000,[],9737
Alan Warner,M,439685731,2003-05-05,Sophomore,School of Arts and Sciences,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,7000,[743543137],9741
Vanessa Carlson,F,547731328,2001-12-02,Sophomore,School of Arts and Sciences,0,1,['MS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000,[464257634],9743
Patricia Edwards,F,536617216,2003-10-02,Junior,School of Arts and Sciences,0,0,['NCA' 'RA' 'AH'],Apartment,1,1,1,6000-8000,9000,[748017094],9745
Reginald Holmes,M,910223465,2000-03-18,Freshman,School of Communication and Information,0,0,['BS' 'NCA' 'BH'],Apartment,1,1,1,8000-11000,12000,"[538886782, 841768838]",9750
Holly Fletcher,F,603574738,2000-06-07,Junior,School of Arts and Sciences,0,0,['BS' 'WS' 'JS'],Apartment,1,1,1,6000-8000,9000,"[353453334, 420374878]",9751
Christina Fowler,F,519141754,2000-02-23,Junior,School of Arts and Sciences,0,1,['CS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000,[],9751
Jennifer Olson,F,494817187,2000-12-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'SA' 'MZH'],Suite,1,1,1,4000-6000,7000,[963735198],9754
Beth Chang,F,649780190,2001-11-28,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000,[425049319],9759
Edwin Diaz,M,357331771,2003-07-04,Sophomore,Mason Gross School of the Arts,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000,"[937051033, 378509682]",9766
Mark Williams,M,917915418,2000-06-24,Postdoctoral studies,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,0,1,9000-10500,11500,[950474744],9768
Frederick George,M,108485739,2000-06-21,Sophomore,School of Arts and Sciences,0,0,['SA' 'RA' 'BS'],Apartment,1,1,1,6000-8000,9000,[],9773
Jared Rowland,M,458981044,2004-09-13,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['AH' 'MH' 'MRS'],Suite,1,1,1,8000-11000,12000,[],9780
Bridget Waters,F,802783013,2004-06-18,Junior,School of Communication and Information,0,0,['BS' 'CS' 'SA'],Suite,1,1,1,8000-11000,12000,"[617460765, 397910921]",9785
Ross Smith,M,737698261,2000-03-21,Freshman,School of Communication and Information,0,1,['BS' 'MZH' 'SA'],Suite,1,1,1,8000-11000,12000,"[489873888, 925195783]",9787
Scott Becker,M,792341253,2003-04-28,Sophomore,School of Environmental and Biological Sciences,0,1,['RA' 'MH' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],9788
Daniel Cruz,M,685423346,2003-01-10,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'JS' 'WS'],Apartment,1,1,1,6000-8000,9000,[896856684],9788
Connie Velasquez,F,323159134,2002-11-16,Junior,School of Arts and Sciences,0,1,['MH' 'MZH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[341042986, 489285433]",9797
Michelle Lyons,F,513603316,2004-03-30,Freshman,Mason Gross School of the Arts,0,0,['RA' 'AH' 'BS'],Suite,1,1,1,6000-8000,9000,"[196842628, 279155414]",9806
Ernest Howard,M,652584383,2004-06-21,Freshman,School of Arts and Sciences,0,0,['MZH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000,[],9807
Matthew Robertson,M,943451299,2001-06-27,Sophomore,School of Arts and Sciences,0,0,['BH' 'RA' 'MH'],Apartment,1,1,1,4000-6000,7000,"[581995741, 752702109]",9810
Heather Davis,F,806197982,2004-02-14,Freshman,Mason Gross School of the Arts,0,0,['BH' 'RA' 'MS'],Apartment,1,0,1,6000-8000,9000,"[644405134, 516115700]",9810
Michael Farley,M,228855972,2003-08-03,Freshman,Mason Gross School of the Arts,0,1,['NCA' 'TS' 'CS'],Apartment,1,1,1,8000-11000,12000,[],9813
Leslie Elliott,F,840457030,2002-03-01,Junior,School of Arts and Sciences,0,1,['MH' 'BH' 'RA'],Suite,1,1,1,8000-11000,12000,"[149028192, 945145090]",9817
John Reynolds,M,812681134,2004-07-01,Freshman,Mason Gross School of the Arts,0,0,['RA' 'SA' 'WS'],Apartment,1,1,1,8000-11000,12000,"[737975139, 782558941]",9817
Timothy Meyer,M,517136103,2001-10-11,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[777342549, 227797283]",9822
Brianna Watson,F,312161738,2001-07-26,Sophomore,School of Arts and Sciences,0,1,['CS' 'RA' 'MRS'],Suite,1,1,1,4000-6000,7000,"[679018298, 177017702]",9830
Steven Smith,M,979254121,1997-11-03,Doctorate,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[830493275, 244532589]",9833
Mark Morris,M,408205890,2005-06-13,Sophomore,School of Communication and Information,0,1,['SA' 'MZH' 'NCA'],Traditional Residence Hall,1,0,1,6000-8000,9000,[],9835
Ms. Crystal Johnson,F,780082016,2002-09-28,Freshman,School of Arts and Sciences,0,0,['MRS' 'NCA' 'TS'],Apartment,1,1,1,4000-6000,7000,"[944167622, 866318192]",9844
Colleen Harrington,F,346981704,2001-07-09,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'SA'],Apartment,1,0,1,8000-11000,12000,[456856068],9847
Curtis Valdez,M,268287461,2004-08-16,Freshman,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'CS'],Apartment,1,1,1,6000-8000,9000,"[583972265, 415887363]",9857
Whitney Estes,F,556437202,2001-09-05,Freshman,Mason Gross School of the Arts,0,0,['RA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,[349981641],9867
Julie Potter,F,115535016,2001-08-28,Freshman,School of Arts and Sciences,0,0,['MS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[442971761, 299701865]",9870
Christopher Price,M,626761271,2005-05-07,Sophomore,School of Arts and Sciences,0,0,['JS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[216609245, 365334443]",9870
Ashley Stone,F,107348870,2004-04-29,Junior,School of Arts and Sciences,0,1,['SA' 'NCA' 'MS'],Traditional Residence Hall,1,1,0,4000-6000,7000,"[730532334, 800763724]",9876
Holly Lopez,F,924085406,2005-03-14,Sophomore,School of Arts and Sciences,0,0,['MH' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000,[562991982],9879
Ann Burke,F,910181693,2000-01-27,Freshman,School of Social Work,0,0,['BS' 'SA' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[225388989, 587957457]",9880
Jeffrey Clarke,M,392689737,1999-10-23,Senior,School of Arts and Sciences,0,0,['BS' 'RA' 'MRS'],Suite,1,1,1,8000-11000,12000,"[578816531, 822832909]",9883
Kylie Mckenzie,F,410737758,2004-02-04,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'MH' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[957289830],9885
Austin Price,M,353943187,2005-07-11,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MZH' 'RA'],Suite,1,1,1,6000-8000,9000,"[745153269, 559206280]",9887
Jennifer Diaz,F,157770437,2002-09-10,Sophomore,School of Engineering,0,1,['TS' 'AH' 'SA'],Apartment,1,1,1,8000-11000,12000,[993859203],9888
Clarence Lawrence,M,741305225,2004-03-19,Junior,School of Arts and Sciences,0,0,['RA' 'NCA' 'BS'],Suite,1,1,1,6000-8000,9000,[],9889
Erika Brown,F,865545385,2000-04-02,Sophomore,School of Arts and Sciences,0,0,['BS' 'NCA' 'MH'],Suite,1,1,1,8000-11000,12000,[923980207],9895
Mary Nicholson,F,745862358,2002-03-03,Freshman,School of Arts and Sciences,0,1,['BS' 'BH' 'MS'],Suite,1,1,1,8000-11000,12000,"[852163813, 717741141]",9900
Gary Shaw,M,786269567,2005-03-20,Junior,School of Arts and Sciences,0,0,['CS' 'TS' 'BS'],Suite,1,1,1,8000-11000,12000,[140123619],9902
Jessica Miller,F,990531147,2002-09-16,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['CS' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,"[742803667, 406462960]",9906
Mary Kirk,F,839236059,2004-06-17,Senior,Mason Gross School of the Arts,0,0,['WS' 'MS' 'BS'],Suite,1,1,1,8000-11000,12000,"[434159715, 178113555]",9916
Lori Taylor,F,833567193,2003-01-28,Sophomore,School of Environmental and Biological Sciences,0,0,['AH' 'JS' 'NCA'],Suite,1,1,1,8000-11000,12000,[683935822],9918
Rachael Gomez,F,331301633,2003-04-16,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['MRS' 'AH' 'RA'],Suite,1,1,1,8000-11000,12000,"[411626539, 787689812]",9919
April Kemp,F,896856684,2002-08-16,Senior,School of Social Work,0,0,['BS' 'JS' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[333580169, 685423346]",9919
David Quinn,M,662665303,2004-12-15,Sophomore,School of Arts and Sciences,0,0,['TS' 'NCA' 'SA'],Suite,1,1,1,8000-11000,12000,[991865099],9919
Julie Copeland,F,953121919,2001-02-15,Freshman,School of Arts and Sciences,0,0,['NCA' 'BH' 'MH'],Suite,1,1,1,8000-11000,12000,"[940299498, 636086238]",9922
Michael Michael,M,290931672,2000-03-28,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MS' 'RA' 'BH'],Apartment,1,1,1,6000-8000,9000,"[446212720, 651131665]",9925
Stephanie Taylor,F,508325503,2001-02-06,Freshman,School of Communication and Information,1,1,['SA' 'WS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[944254915, 631597467]",9929
Michael Roberts,M,541180937,2001-10-12,Junior,School of Arts and Sciences,0,0,['RA' 'MS' 'BS'],Apartment,1,1,0,4000-6000,7000,[],9933
Shane Palmer,M,574007214,2005-07-24,Senior,School of Arts and Sciences,0,0,['BS' 'NCA' 'BH'],Apartment,1,0,1,8000-11000,12000,"[424999307, 352911477]",9934
Mark Chen,M,336853738,2004-07-05,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MZH' 'NCA'],Suite,1,1,1,8000-11000,12000,"[898116032, 177651709]",9936
Christina Nelson MD,F,752819942,2003-01-26,Junior,School of Engineering,0,0,['CS' 'TS' 'AH'],Suite,1,1,1,4000-6000,7000,"[843196188, 798698892]",9940
James Dyer,M,280908893,2000-02-26,Masters,School of Graduate Studies,0,1,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,"[900932332, 966171711]",9941
Sherry Bradshaw,F,735930572,2001-01-02,Freshman,School of Communication and Information,0,0,['CS' 'NCA' 'SA'],Suite,1,1,1,4000-6000,7000,[940877043],9943
Jonathan Clayton,M,463753269,2005-03-13,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'TS'],Apartment,1,1,1,8000-11000,12000,[],9944
Phillip Rush,M,662405082,2000-10-30,Sophomore,School of Communication and Information,0,0,['AH' 'WS' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[748688681, 670529381]",9957
Scott Berry,M,600472832,2005-08-08,Junior,School of Communication and Information,0,1,['SA' 'BS' 'MRS'],Suite,1,1,1,6000-8000,9000,[],9962
James Daniels,M,394615198,2004-01-31,Junior,School of Arts and Sciences,0,1,['MRS' 'SA' 'BH'],Suite,1,1,1,8000-11000,12000,[220204701],9964
Mark Sandoval,M,386343224,1999-10-23,Freshman,School of Communication and Information,0,1,['CS' 'TS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[511863499, 970014111]",9968
Kirsten Wheeler,F,209126072,2001-10-30,Freshman,School of Arts and Sciences,0,1,['BS' 'MS' 'NCA'],Suite,1,0,1,8000-11000,12000,"[717105065, 531933341]",9991
Ronald Coleman,M,866374623,2002-11-19,Sophomore,School of Arts and Sciences,0,0,['NCA' 'AH' 'RA'],Suite,1,1,1,8000-11000,12000,"[178664117, 647589385]",9992
Linda Baker,F,564926391,2004-05-22,Freshman,School of Engineering,0,1,['MZH' 'SA' 'NCA'],Suite,1,1,1,4000-6000,7000,"[993859203, 157770437]",9994
Jason Archer,M,236266068,2004-11-06,Sophomore,Mason Gross School of the Arts,0,1,['MH' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000,[313236201],9997
Heather Reed,F,767739887,2002-07-10,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'MH'],Apartment,1,1,1,4000-6000,7000,[537940886],10003
Jason Gonzalez,M,398061104,2004-06-20,Junior,School of Arts and Sciences,0,1,['MRS' 'BH' 'MS'],Suite,1,1,1,8000-11000,12000,"[682118152, 267412471]",10005
Joseph Burnett,M,492999635,2005-04-30,Sophomore,School of Arts and Sciences,0,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[140339662, 552462930]",10006
Alexandria Jones,F,880848328,2001-08-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'CS' 'MS'],Suite,1,0,1,8000-11000,12000,"[239848109, 873416668]",10007
Eric Collier,M,593020384,2002-12-05,Sophomore,School of Arts and Sciences,0,0,['BS' 'MH' 'SA'],Suite,1,1,1,4000-6000,7000,"[326739917, 699784220]",10009
Stephanie Woodward,F,297115671,2004-03-25,Junior,School of Arts and Sciences,0,0,['MH' 'MRS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[414163962],10018
Kayla Baker,F,902035442,1999-11-02,Sophomore,School of Arts and Sciences,0,0,['MH' 'WS' 'SA'],Suite,1,1,1,8000-11000,12000,[],10023
David Smith,M,419743679,2001-06-01,Junior,School of Social Work,0,0,['BH' 'BS' 'AH'],Apartment,1,1,1,8000-11000,12000,[],10028
Gregory Jones,M,486154626,2002-05-16,Sophomore,School of Social Work,0,0,['MH' 'NCA' 'SA'],Apartment,1,1,1,6000-8000,9000,"[796284780, 768362324]",10036
Jane Parker,F,721448022,2004-06-16,Freshman,School of Communication and Information,0,0,['MZH' 'TS' 'MS'],Suite,1,1,1,8000-11000,12000,[995831271],10040
Sherry Gomez,F,248117150,1997-10-27,Doctorate,School of Graduate Studies,0,1,['JA' 'BA'],Apartment,1,1,1,10500-12000,13000,"[796224963, 646935970]",10045
Scott Adams,M,354450256,2000-12-27,Freshman,School of Communication and Information,0,0,['NCA' 'RA' 'MH'],Apartment,1,1,1,6000-8000,9000,[657425327],10048
Jerry Barnett,M,924565636,2001-10-20,Senior,School of Communication and Information,0,0,['NCA' 'MH' 'RA'],Apartment,1,1,1,4000-6000,7000,"[690662190, 493456233]",10051
Kathy Davis,F,398016271,2001-05-30,Freshman,School of Arts and Sciences,1,1,['BS' 'CS' 'NCA'],Apartment,1,1,1,8000-11000,12000,"[191776742, 868994986]",10056
Cynthia Lee,F,537764769,2003-09-17,Junior,School of Arts and Sciences,0,0,['MH' 'BS' 'TS'],Apartment,1,1,1,8000-11000,12000,[],10079
Grace Santos,F,387216658,2003-07-08,Sophomore,School of Arts and Sciences,0,1,['RA' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[574155248, 978445954]",10081
Dalton Campbell,M,593754958,2002-07-11,Freshman,School of Arts and Sciences,0,1,['MRS' 'SA' 'WS'],Suite,1,1,1,8000-11000,12000,"[897599819, 314028650]",10081
Joseph King,M,292234420,2003-04-24,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000,"[839434937, 862964187]",10087
Alexander Acosta,M,420445686,2001-02-10,Freshman,School of Arts and Sciences,0,0,['BS' 'MRS' 'WS'],Suite,1,1,0,8000-11000,12000,[],10090
Vincent Peters,M,451730634,2001-02-13,Sophomore,School of Arts and Sciences,0,0,['SA' 'CS' 'JS'],Apartment,1,1,1,8000-11000,12000,"[798878379, 211112791]",10100
Rachel Santiago,F,535762222,2005-04-27,Freshman,School of Management and Labor Relations,0,1,['WS' 'MH' 'NCA'],Apartment,1,1,1,8000-11000,12000,[],10103
Brian Cantu,M,797289842,2003-06-27,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MH' 'NCA'],Suite,1,1,1,8000-11000,12000,[],10114
Jeff Stephens,M,488728860,2000-11-18,Freshman,School of Arts and Sciences,0,1,['BS' 'BH' 'RA'],Suite,1,1,1,8000-11000,12000,"[614366833, 288060219]",10118
Lynn Villarreal,F,933290112,2004-04-16,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'AH' 'NCA'],Apartment,1,1,0,8000-11000,12000,[],10122
Matthew Harvey,M,265395651,2003-11-02,Freshman,School of Arts and Sciences,0,1,['RA' 'JS' 'NCA'],Suite,1,1,1,8000-11000,12000,[892197296],10129
Angel Peterson,F,730555509,2003-06-04,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'WS'],Apartment,1,1,1,8000-11000,12000,[],10130
Trevor Mason,M,181293295,2003-07-03,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'RA' 'TS'],Traditional Residence Hall,1,0,1,4000-6000,7000,[780510111],10134
Robin Jones,F,866164125,2004-08-10,Freshman,Mason Gross School of the Arts,0,1,['RA' 'MZH' 'NCA'],Apartment,1,1,1,8000-11000,12000,"[443431178, 308926271]",10134
Emily Clayton,F,553836494,1998-05-17,Masters,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[974755214],10138
James Reynolds,M,106250152,2002-08-02,Sophomore,Mason Gross School of the Arts,0,1,['CS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,[390778711],10148
Alan Yates,M,673088630,2002-08-23,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'WS' 'RA'],Suite,1,1,1,8000-11000,12000,"[650618170, 832087313]",10149
Carla Barnes,F,314583866,2003-05-06,Junior,School of Communication and Information,0,0,['JS' 'RA' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],10151
Anthony Dunn,M,985858452,2002-08-28,Freshman,School of Communication and Information,0,0,['NCA' 'MS' 'MH'],Suite,1,1,1,8000-11000,12000,[],10151
John Williams,M,254711925,2003-01-07,Sophomore,School of Arts and Sciences,0,1,['SA' 'NCA' 'MS'],Suite,1,1,1,8000-11000,12000,"[336073377, 702836042]",10154
Samantha Carlson,F,945620180,2003-09-06,Freshman,Mason Gross School of the Arts,0,1,['CS' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,[537407684],10164
Patricia Thomas,F,527585892,2003-04-14,Freshman,School of Arts and Sciences,0,0,['BS' 'WS' 'RA'],Suite,1,1,1,6000-8000,9000,[],10169
Charles Miller,M,244669958,2005-09-23,Freshman,School of Arts and Sciences,0,1,['BS' 'NCA' 'BH'],Suite,1,1,1,6000-8000,9000,"[336705272, 865243859]",10170
Cynthia Sellers,F,841894838,2003-05-13,Freshman,School of Communication and Information,0,0,['MS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000,[],10172
Maria Jones,F,578816531,2000-03-13,Junior,School of Communication and Information,0,1,['RA' 'SA' 'JS'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[392689737, 822832909]",10174
Shawn Garcia,M,154875215,2003-07-07,Sophomore,School of Arts and Sciences,0,0,['MZH' 'MS' 'MH'],Apartment,1,1,1,4000-6000,7000,[],10177
Tara Jenkins,F,388914047,2002-08-27,Junior,Mason Gross School of the Arts,0,1,['NCA' 'MZH' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[908729534, 322638845]",10190
Christopher Perez,M,517711704,2002-05-07,Freshman,School of Arts and Sciences,0,0,['CS' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000,[],10202
Christine Harrell,F,518287130,2004-04-07,Freshman,School of Environmental and Biological Sciences,0,1,['NCA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,7000,"[311863929, 617631128]",10214
Shelley Hernandez,F,734016163,1994-09-22,Doctorate,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,[],10220
Victor Harris,M,337211257,2005-05-04,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MZH' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[475301526, 443837519]",10221
Samuel Hoffman,M,457775955,2003-12-09,Freshman,School of Arts and Sciences,0,0,['AH' 'BS' 'RA'],Suite,1,1,0,4000-6000,7000,"[666198096, 524775539]",10235
Cameron Floyd,M,232427645,1993-11-20,Doctorate,School of Graduate Studies,0,1,['JA' 'BA'],Apartment,1,1,1,10500-12000,13000,[],10239
Robert Blair,M,217646579,2003-02-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['MZH' 'MRS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],10242
Zachary Mcconnell,M,461121746,2001-05-04,Freshman,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000,[250493217],10245
Danny Chen,M,737272227,2000-09-30,Freshman,School of Engineering,0,0,['SA' 'NCA' 'TS'],Suite,1,1,1,6000-8000,9000,"[135360044, 939009429]",10251
Michael Coleman,M,931136885,2003-03-18,Senior,School of Arts and Sciences,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,[],10255
Kevin Stewart,M,396678906,2000-12-15,Sophomore,School of Arts and Sciences,0,1,['MRS' 'WS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],10256
Christopher Diaz,M,333580169,2003-07-16,Freshman,School of Arts and Sciences,0,0,['RA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,7000,"[896856684, 685423346]",10263
Beth Ellis PhD,F,729411793,2001-03-12,Freshman,School of Arts and Sciences,0,0,['MZH' 'MH' 'SA'],Apartment,1,1,1,8000-11000,12000,"[143718719, 380844098]",10268
Michael Adams,M,125302510,2005-07-17,Freshman,School of Environmental and Biological Sciences,0,0,['MZH' 'BS' 'WS'],Apartment,1,1,1,8000-11000,12000,[978720156],10269
Andre Davis,M,112995005,2000-09-10,Sophomore,School of Engineering,0,0,['JS' 'SA' 'MRS'],Apartment,1,1,1,4000-6000,7000,[800360967],10270
Brett Terrell Jr.,M,398330896,2003-03-20,Junior,School of Arts and Sciences,0,0,['MZH' 'SA' 'NCA'],Suite,1,1,1,6000-8000,9000,[],10274
Laura Austin,F,541772698,2005-06-03,Freshman,School of Communication and Information,0,1,['MH' 'AH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[],10276
Jacob Howell,M,141384928,2003-11-26,Junior,School of Arts and Sciences,0,1,['SA' 'CS' 'MS'],Suite,1,1,1,8000-11000,12000,"[649236506, 312349783]",10277
Alyssa Stephens,F,453704076,1994-11-06,Masters,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,"[990359525, 869279929]",10280
Mary Cook,F,196842628,2004-01-04,Sophomore,School of Engineering,0,1,['SA' 'MH' 'RA'],Suite,1,1,1,6000-8000,9000,"[513603316, 279155414]",10280
Jessica Crawford,F,722984116,2003-03-30,Freshman,School of Arts and Sciences,0,0,['BH' 'JS' 'MH'],Apartment,1,1,1,4000-6000,7000,"[241878861, 601217559]",10285
Elizabeth Morris,F,897516121,1994-04-10,Masters,Graduate School of Applied and Professional Psychology,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,"[587832424, 580814321]",10289
Robert Simmons,M,488366979,2003-05-15,Freshman,School of Management and Labor Relations,0,1,['RA' 'TS' 'NCA'],Suite,1,1,1,6000-8000,9000,[380363402],10298
